Sex,"Total","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Total",44167,2980,2904,2758,2921,2777,2735,2898,2871,2753,2431,2216,2238,2023,2075,1951,1846,1895,1895
"Female",13563,970,910,846,916,847,794,900,916,815,746,663,692,570,652,650,538,549,589
"Male",30543,2007,1986,1904,2005,1928,1941,1997,1952,1938,1681,1553,1544,1445,1421,1290,1305,1343,1303
"Unknown",61,3,8,8,0,2,0,1,3,0,4,0,2,8,2,11,3,3,3
"Not applicable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
