Sex,"Total","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Total",6469219,412887,421346,408671,419237,406319,388446,385756,377755,367721,337489,330103,333987,324537,322292,316544,299422,309107,307600
"Female",2706985,166720,173098,168712,173968,169075,162365,160069,156638,152840,140535,138875,140674,137580,137070,135767,127750,132616,132633
"Male",3490036,229380,235054,227484,231990,224600,213843,212565,206749,199777,182553,175990,176030,169942,167882,164798,153298,159920,158181
"Unknown",268364,16776,12863,12135,13007,12315,11992,12886,14150,14811,14158,15018,17064,16792,17124,15760,18160,16569,16784
"Not applicable",3834,11,331,340,272,329,246,236,218,293,243,220,219,223,216,219,214,2,2
